claim_id,record_id,claim_type,claim_text,value_nature,reporting_origin,numeric_value,unit,date_value,date_precision,reporting_period,verification_status,notes
[CLM-2023-0001],[ACH-2023-0001],legal_status,"President Tinubu signed the Electricity Act 2023 repealing the 2005 EPSRA and granting constitutional powers to state governments to regulate subnational electricity markets",actual,government_reported,,,2023-06-09,exact_day,2023-Q2,source_confirmed,Enactment documented in Federal Republic of Nigeria Official Gazette
[CLM-2023-0002],[ACH-2023-0001],institutional_responsibility,"Over four states including Enugu, Ekiti, Ondo, and Imo established independent State Electricity Regulatory Commissions taking over regulatory oversight from NERC",actual,government_reported,4,states,2024-04-22,exact_day,2024-Q2,independently_corroborated,NERC regulatory transfer orders and state gazettes
[CLM-2023-0003],[ACH-2023-0002],policy_action,"Central Bank of Nigeria collapsed all foreign exchange windows into the Nigerian Autonomous Foreign Exchange Market (NAFEM)",actual,government_reported,,,2023-06-14,exact_day,2023-Q2,source_confirmed,CBN circular FMD/DIR/CIR/GEN/08/007
[CLM-2023-0004],[ACH-2023-0002],statistical_indicator,"Gross external reserves recovered to USD 38.5 Billion following foreign exchange market harmonization and portfolio inflows",actual,government_reported,38.5,USD Billion,2024-06-30,exact_day,2024-Q2,independently_corroborated,CBN Monthly Economic Report June 2024
[CLM-2023-0005],[ACH-2023-0003],reported_outcome,"FIRS collected a historic total of N12.3 trillion in non-oil tax revenues in 2023 representing 107 percent of its fiscal target",actual,government_reported,12.3,NGN Trillion,2023-12-31,exact_day,2023,independently_corroborated,FIRS 2023 Annual Report and NBS quarterly fiscal tables
[CLM-2023-0006],[ACH-2023-0004],project_status,"15 commercial vehicle CNG conversion centres operationalized across six pilot states",actual,government_reported,15,centres,2024-05-15,exact_day,2024-Q2,source_confirmed,PCNGi commercial rollout manifest
[CLM-2023-0007],[ACH-2023-0005],legal_status,"Executive Order 040 introduced contracting cycle compression from 36 to 6 months and fiscal tax credits for non-associated gas fields",actual,government_reported,,,2024-02-28,exact_day,2024-Q1,source_confirmed,Official Gazette Vol 111 No 38
[CLM-2023-0008],[ACH-2023-0006],reported_outcome,"42,000 metric tonnes of maize, sorghum, and millet released from Strategic Grain Reserves to 36 states",actual,government_reported,42000,metric tonnes,2024-04-15,exact_day,2024-Q2,source_confirmed,Federal Ministry of Agriculture distribution manifest
[CLM-2023-0009],[ACH-2023-0007],reported_outcome,"107,000 smallholder wheat farmers cultivated 120,000 hectares producing 400,000 metric tonnes of grain under NAGS-AP",actual,government_reported,107000,farmers,2024-04-30,exact_day,2024-Q2,independently_corroborated,AfDB NAGS-AP Programme Implementation Report
[CLM-2023-0010],[ACH-2023-0008],financial_value,"Bilateral sovereign credit financing of USD 1.1 billion approved for Green Imperative Agro-mechanization programme",actual,government_reported,1.1,USD Billion,2024-03-20,exact_day,2024-Q1,source_confirmed,Federal Executive Council extract
