policy_id,policy_title,policy_type,lead_mda,sector,subsector,legal_authority,gazette_reference,status,approval_date,effective_date,date_precision,key_objectives,notes
[POL-2023-0001],Electricity Act 2023,statutory_act,Federal Ministry of Power,power_energy_natural_resources,power_sector_reforms,Constitution of the Federal Republic of Nigeria 1999 (Fifth Alteration),Official Gazette No. 98 Vol. 110,enacted,2023-06-09,2023-06-09,exact_day,"Decentralize electricity generation and distribution|Empower states to create State Electricity Markets|Unbundle TCN",Repealed Electric Power Sector Reform Act 2005
[POL-2023-0002],Foreign Exchange Market Window Unification Directive,regulatory_framework,Central Bank of Nigeria,economy_fiscal_reforms,monetary_and_exchange_rate_reforms,CBN Act 2007 Section 16,CBN Operational Circular FMD/DIR/CIR/GEN/08/007,effective,2023-06-14,2023-06-14,exact_day,"Abolish multiple exchange rate windows|Collapse segments into NAFEM|Eliminate currency arbitrage",Implemented market-determined exchange rate mechanism
[POL-2024-0003],Presidential Executive Order 040 (Oil and Gas Fiscal Incentives),executive_order,Presidency,power_energy_natural_resources,oil_and_gas_fiscal_terms,Section 5 of 1999 Constitution,Official Gazette Vol. 111 No. 38,effective,2024-02-28,2024-02-28,exact_day,"Reduce upstream project contracting timelines from 36 to 6 months|Grant fiscal incentives for non-associated gas|Provide tax credits for deepwater investments",Aimed at unlocking over USD 5B in greenfield investments
[POL-2024-0004],Access to Higher Education (Repeal and Re-enactment) Act 2024,statutory_act,National Student Financial Aid Scheme,education_human_capital,student_loans_and_financial_aid,Acts of National Assembly 2024,Official Gazette Vol. 111 No. 56,enacted,2024-04-03,2024-04-03,exact_day,"Repeal 2023 Student Loan Act|Remove family income restrictions|Establish NELFUND as a statutory body|Dedicate 1% of federal revenue to student aid",Superseded the restrictive 2023 Act
[POL-2024-0005],Presidential Executive Order 041 (Pharmaceutical and Healthcare Fiscal Waivers),executive_order,Federal Ministry of Health and Social Welfare,healthcare_public_health,pharmaceutical_manufacturing_and_medical_supplies,Section 5 of 1999 Constitution,Official Gazette Vol. 111 No. 72,effective,2024-06-28,2024-06-28,exact_day,"Zero tariffs on active pharmaceutical ingredients|Zero VAT on medical consumables and equipment|Promote domestic manufacturing of essential drugs",Coordinated with Federal Ministry of Finance and Customs
[POL-2024-0006],Supreme Court Direct Allocation Fiscal Enforcement Directive,regulatory_framework,Federal Ministry of Finance,governance_public_service,judicial_and_constitutional_reforms,Supreme Court Judgment in SC/CV/343/2024,FAAC Administrative Circular FAAC/2024/07,effective,2024-07-11,2024-07-11,exact_day,"Enforce direct remittance of statutory revenue to 774 LGA accounts|Prohibit state joint allocation account diversions",Transforms subnational fiscal federalism
[POL-2024-0007],National Broadband SPV Governance Framework,regulatory_framework,Federal Ministry of Communications Innovation and Digital Economy,digital_economy_science_innovation,broadband_infrastructure,FEC Resolution FEC/2024/21,FEC Extract Doc 2024-SPV-01,approved,2024-05-13,2024-05-13,exact_day,"Deploy 90000km of terrestrial fiber optic network|Establish PPP co-investment vehicle|Increase national fiber from 35000km to 125000km",Approved by Federal Executive Council
[POL-2024-0008],National Youth Investment Fund Restructuring Policy,national_policy,Federal Ministry of Youth Development,youth_employment_skills,youth_enterprise_and_capital,FEC Approval Memo YD/2024/04,FEC Document NYIF-2024-R1,approved,2024-05-22,2024-05-22,exact_day,"Recapitalize NYIF to N110 Billion|Provide single-digit interest loans to youth MSMEs|Establish equity financing desk",Structured through Bank of Industry
[POL-2024-0009],National Primary Healthcare Revival Blueprint,strategic_roadmap,National Primary Health Care Development Agency,healthcare_public_health,primary_healthcare_infrastructure,Health Sector Renewal Investment Initiative,FMoH Policy Document 2024-PHC,approved,2024-05-15,2024-05-15,exact_day,"Revitalize 8800 Primary Healthcare Centres|Install solar energy systems|Deploy electronic medical records",Co-financed by Global Fund and Gavi
[POL-2024-0010],Consumer Credit Governance and Guarantee Charter,regulatory_framework,CREDICORP,social_protection_human_development,consumer_credit_and_welfare,Presidency Directive on Consumer Credit,CREDICORP Operational Guidelines v1.0,effective,2024-04-20,2024-04-20,exact_day,"Establish credit guarantee framework for civil servants|Facilitate CNG vehicle conversions|Expand consumer credit market to 50 percent of working population",Established by Presidential Order
