"record_id","title","canonical_scope","existing_db_geographies","research_states","proposed_geographies","relationship_type","supporting_source_or_claim","action"
"[ACH-2023-0001]","Assent and Operational Decentralization under the Electricity Act 2023","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2023-0002]","Unification of Foreign Exchange Windows and Transition to Market-Determined Rate","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2023-0003]","Federal Inland Revenue Service Non-Oil Tax Revenue Mobilization Expansion","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2023-0004]","Establishment and Operational Deployment of the Presidential Compressed Natural Gas Initiative","multi_state","NG-LA;NG-FC;NG-OG;NG-RI;NG-ED;NG-KN","Lagos State;Federal Capital Territory;Ogun State;Rivers State;Edo State;Kano State","NG-LA;NG-FC;NG-OG;NG-RI;NG-ED;NG-KN","multi_state","Accepted M03 Certified Public Corpus","KEEP_MULTI_STATE"
"[ACH-2023-0005]","Presidential Executive Order 040 on Upstream Oil and Gas Fiscal Incentives","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2023-0006]","National Food Security Emergency Declaration and Strategic Grain Reserve Offload","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2023-0007]","Launch of the National Dry-Season Wheat Cultivation Initiative in Northern Agro-Corridors","multi_state","NG-JI;NG-KN;NG-KB;NG-BA;NG-BO","Jigawa State;Kano State;Kebbi State;Bauchi State;Borno State","NG-JI;NG-KN;NG-KB;NG-BA;NG-BO","multi_state","Accepted M03 Certified Public Corpus","KEEP_MULTI_STATE"
"[ACH-2023-0008]","Bilateral Activation of the Green Imperative Agricultural Mechanization Scheme","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2023-0009]","Launch and Phase 1 Deployment of the 3 Million Technical Talent (3MTT) Programme","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2023-0010]","Federal Executive Council Approval of the 90,000km National Fiber Backbone Special Purpose Vehicle","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2023-0011]","Inauguration of the National Council for Digital Innovation and Entrepreneurship","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0012]","Construction and Pavement Engineering on the 700km Lagos-Calabar Coastal Highway (Section 1)","corridor","NG-LA;NG-OG","Lagos;Ogun;Ondo;Edo;Delta;Bayelsa;Rivers;Akwa Ibom;Cross River","NG-LA;NG-OG;NG-ON;NG-ED;NG-DE;NG-BY;NG-RI;NG-AK;NG-CR","corridor","Federal Ministry of Works 700km Coastal Highway Award","ADD_CORRIDOR_RELATIONSHIP"
"[ACH-2024-0013]","Rehabilitation and Commercial Operations Recommencement of the Abuja Light Rail (Metro) Network","fct","NG-FC","Federal Capital Territory","NG-FC","fct_specific","Federal Ministry of Transportation / FCTA Metro Operations Gazette","KEEP_FCT"
"[ACH-2024-0014]","Recommencement of Commercial Passenger and Freight Rail Operations on Port Harcourt - Aba Corridor","corridor","NG-RI;NG-AB","Rivers;Abia","NG-RI;NG-AB","corridor","Nigerian Railway Corporation Commercial Freight Recommencement","ADD_CORRIDOR_RELATIONSHIP"
"[ACH-2024-0015]","Completion and Handover of the Second Niger Bridge Onitsha and Asaba Dual-Carriageway Access Bypasses","multi_state","NG-DE;NG-AN","Delta State;Anambra State","NG-DE;NG-AN","multi_state","Accepted M03 Certified Public Corpus","KEEP_MULTI_STATE"
"[ACH-2024-0016]","Groundbreaking and Delivery of Renewed Hope Cities and Estates Phase 1","multi_state","NG-FC;NG-KN;NG-LA;NG-OG;NG-RI;NG-EN","Federal Capital Territory;Kano State;Lagos State;Ogun State;Rivers State;Enugu State","NG-FC;NG-KN;NG-LA;NG-OG;NG-RI;NG-EN","multi_state","Accepted M03 Certified Public Corpus","KEEP_MULTI_STATE"
"[ACH-2024-0017]","National Housing Fund Digitalization and Single-Digit Interest Mortgage Reforms","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0018]","Enactment of the Access to Higher Education (Repeal and Re-enactment) Act 2024","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0019]","NELFUND Tertiary Institutional Fee and Student Living Stipend Disbursements","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0020]","Universal Basic Education Commission Matching Grant Policy Reform and Fund Releases","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0021]","Presidential Executive Order 041 on Local Pharmaceutical Manufacturing Fiscal Incentives","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0022]","Revitalization and Infrastructure Upgrading of Primary Healthcare Centres Nationwide","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0023]","Disbursement of the Presidential Conditional Grant Scheme to 1 Million Nano-Businesses","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0024]","Operationalization and Credit Disbursement Rollout of the Nigerian Consumer Credit Corporation","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0025]","Biometric Restructuring and Digitization of the National Social Safety Net Register","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
"[ACH-2024-0026]","Recapitalization and Restructuring of the National Youth Investment Fund to N110 Billion","national","NGA","All 36 States + FCT","NGA","national","Accepted M03 Certified Public Corpus","KEEP_NATIONAL"
