relationship_id,claim_id,source_id,source_role,relationship_type,evidence_location,evidence_summary,evidence_limitation,review_status,superseded_by_relationship_id,notes
[CSR-2023-0001],[CLM-2023-0001],[SRC-2023-0001],primary,supports,"Section 2(2), pp. 1-15",Official Gazette certifying assent to Electricity Act 2023,None,source_confirmed,,Statutory confirmation
[CSR-2023-0002],[CLM-2023-0002],[SRC-2023-0001],contextual,supports,"Section 63(1), pp. 34-38",Statutory provision establishing State Electricity Markets,Subject to state assembly legislation,source_confirmed,,Legal basis for SERCs
[CSR-2023-0003],[CLM-2023-0003],[SRC-2023-0002],primary,supports,"Paragraphs 1-4, Circular Doc",CBN circular ordering unification of FX market windows,None,source_confirmed,,Monetary directive
[CSR-2023-0004],[CLM-2023-0004],[SRC-2024-0033],official_statistical,supports,"Page 14, Table 3.2",Gross external reserves balance reported at USD 38.5 Billion,Gross figure includes swap obligations,source_confirmed,,Central bank statistical series
[CSR-2023-0005],[CLM-2023-0004],[SRC-2024-0031],independent_assessment,supports,"Page 22, Paragraph 18",IMF staff appraisal confirming external reserves replenishment,Subject to FX liabilities,independently_corroborated,,Multilateral corroboration
[CSR-2023-0006],[CLM-2023-0005],[SRC-2023-0003],primary,supports,"Executive Summary, Table 1.1",FIRS audited non-oil tax collections of N12.36 Trillion in 2023,None,source_confirmed,,Official tax report
[CSR-2023-0007],[CLM-2023-0005],[SRC-2024-0035],independent_assessment,supports,"Page 3, Paragraphs 4-9",BusinessDay financial investigation confirming tax breakdown,None,independently_corroborated,,Investigative validation
[CSR-2023-0008],[CLM-2023-0006],[SRC-2023-0004],primary,supports,"Speech Section 3, pp. 2-4",Presidential directive and rollout guidelines for Pi-CNG,Phase 1 rollout,source_confirmed,,Official rollout
[CSR-2023-0009],[CLM-2023-0007],[SRC-2024-0005],primary,supports,"Sections 1-8, pp. A45-A60",Executive Orders on gas fiscal incentives and contracting timelines,None,source_confirmed,,Gazetted order
[CSR-2023-0010],[CLM-2023-0008],[SRC-2024-0006],primary,supports,"Annexure A, Distribution Table",Distribution manifest for 42000 MT strategic grains,State distribution committees,source_confirmed,,Emergency food relief
[CSR-2023-0011],[CLM-2023-0009],[SRC-2023-0007],independent_assessment,supports,"Page 18, Table 4.1",AfDB assessment of 107000 wheat farmers on 120000 hectares,Subject to final harvest audit,independently_corroborated,,AfDB evaluation
[CSR-2023-0012],[CLM-2023-0010],[SRC-2024-0008],primary,supports,"Resolution 4, Item C",FEC approval of USD 1.1 Billion Green Imperative facility,Subject to bilateral drawdown,source_confirmed,,Cabinet resolution
[CSR-2023-0013],[CLM-2023-0011],[SRC-2023-0009],primary,supports,"Section 2, Data Table 1",NITDA certification records for 30000 3MTT Cohort 1 fellows,Phase 1 cohort only,source_confirmed,,Digital talent metrics
[CSR-2023-0014],[CLM-2023-0012],[SRC-2024-0010],primary,supports,"Paragraphs 1-6, FEC Extract",Cabinet approval for 90000km national fiber broadband SPV,PPP implementation phase,source_confirmed,,Cabinet approval
[CSR-2023-0015],[CLM-2023-0013],[SRC-2024-0011],primary,supports,"Charter Document, pp. 1-8",Inauguration of National Council for Digital Innovation and Entrepreneurship,None,source_confirmed,,Statutory council
[CSR-2024-0016],[CLM-2024-0014],[SRC-2024-0012],primary,supports,"Engineering Section 2, pp. 6-11",Ministry of Works inspection of 10km concrete pavement,Section 1 ongoing,source_confirmed,,Civil engineering inspection
[CSR-2024-0017],[CLM-2024-0015],[SRC-2024-0013],primary,supports,"Section 1, Operational Dossier",Commissioning records for 27.2km Abuja Light Rail network,Full revenue operations commenced,source_confirmed,,FCTA transport records
[CSR-2024-0018],[CLM-2024-0016],[SRC-2024-0014],primary,supports,"Schedule Sheet, Manifest 1",NRC operations log for scheduled commercial train runs,Passenger and light freight,source_confirmed,,NRC train operations
[CSR-2024-0019],[CLM-2024-0017],[SRC-2024-0015],primary,supports,"Completion Certificate, p. 1",17.5km dualized bypass completion certificate,Toll infrastructure completed,source_confirmed,,Completion certificate
[CSR-2024-0020],[CLM-2024-0018],[SRC-2024-0016],primary,supports,"Page 4, Table 2.2",Engineering inspection of 3112 housing units in Karsana,Phase 1 structural stage,source_confirmed,,Housing project report
[CSR-2024-0021],[CLM-2024-0019],[SRC-2024-0017],primary,supports,"Circular Body, pp. 1-3",FMBN circular on digital contributions and mortgage loan limits,None,source_confirmed,,Mortgage bank circular
[CSR-2024-0022],[CLM-2024-0020],[SRC-2024-0018],primary,supports,"Sections 2-15, pp. 1-22",Student Loan Act 2024 gazette establishing NELFUND,Repealed 2023 Act,source_confirmed,,Statutory act
[CSR-2024-0023],[CLM-2024-0021],[SRC-2024-0019],primary,supports,"Disbursement Summary, Sheet 1",NELFUND portal disbursement records exceeding N10 Billion,Tuition disbursed directly to institutions,source_confirmed,,Student loan portal
[CSR-2024-0024],[CLM-2024-0021],[SRC-2024-0034],independent_assessment,supports,"Paragraphs 8-16, Article",Premium Times independent investigation on campus tuition releases,Sample of 12 federal universities,independently_corroborated,,Investigative journalism
[CSR-2024-0025],[CLM-2024-0022],[SRC-2024-0019],primary,supports,"Portal Analytics, Sheet 2",Over 350000 registered student applications processed,Total registered applicants,source_confirmed,,Portal registration
[CSR-2024-0026],[CLM-2024-0023],[SRC-2024-0020],primary,supports,"Financial Table 3, pp. 12-18",UBEC basic education matching grant releases of N50 Billion,State counterpart funding required,source_confirmed,,UBEC audit report
[CSR-2024-0027],[CLM-2024-0024],[SRC-2024-0021],primary,supports,"Sections 1-6, pp. A12-A19",Executive Order 041 fiscal incentives on APIs and medical equipment,None,source_confirmed,,Executive order gazette
[CSR-2024-0028],[CLM-2024-0025],[SRC-2024-0022],primary,supports,"Section 3, Table 2.1",NPHCDA solarization and upgrading of 2500 primary health centres,Phase 1 cohort,source_confirmed,,Health revitalization report
[CSR-2024-0029],[CLM-2024-0026],[SRC-2024-0023],primary,supports,"Payment Log, BOI Gateway",Bank of Industry payment logs for 1000000 nano business grants,N50000 non-repayable grant,source_confirmed,,Bank of Industry log
[CSR-2024-0030],[CLM-2024-0027],[SRC-2024-0024],primary,supports,"Operations Summary, pp. 2-5",CREDICORP pilot consumer credit disbursements to 25000 workers,Initial pilot phase,source_confirmed,,Consumer credit report
[CSR-2024-0031],[CLM-2024-0028],[SRC-2024-0025],independent_assessment,supports,"Page 35, Box 3.1",World Bank review verifying biometric cleaning of National Social Register,Validated 15M households,independently_corroborated,,World Bank report
[CSR-2024-0032],[CLM-2024-0029],[SRC-2024-0026],primary,supports,"Memo Extract, p. 1",FEC approval memo for N110 Billion NYIF recapitalization,Cabinet authorization,source_confirmed,,Cabinet approval
[CSR-2024-0033],[CLM-2024-0030],[SRC-2024-0027],primary,supports,"Bulletin Section 2, pp. 4-9",SMEDAN and Ministry of Youth enterprise cluster enrollment data,10000 youth in 6 zones,source_confirmed,,Enterprise bulletin
[CSR-2024-0034],[CLM-2024-0031],[SRC-2024-0028],primary,supports,"Judgment Lead, pp. 1-45",Supreme Court ruling in SC/CV/343/2024 mandating direct LGA allocation,Binding constitutional ruling,source_confirmed,,Supreme court judgment
[CSR-2024-0035],[CLM-2024-0032],[SRC-2024-0029],primary,supports,"Audit Summary, pp. 1-12",OHCSF forensic audit identifying 50000 unverified IPPIS entries,Saved N120 Billion annually,source_confirmed,,Civil service audit
[CSR-2024-0036],[CLM-2024-0033],[SRC-2024-0030],primary,supports,"Communique Joint Text",Nigeria-UAE bilateral aviation agreement and flight resumption,None,source_confirmed,,Bilateral communique
