source_id,source_title,institution,source_level,source_type,publication_date,publication_date_precision,url,access_date,archive_url,document_number,author,publisher,language,source_status,notes
[SRC-2023-0001],Federal Republic of Nigeria Official Gazette No. 98 Vol. 110 (Electricity Act 2023),Federal Government of Nigeria,LEVEL_1,gazette,2023-06-09,exact_day,https://gazettes.gov.ng/2023/no98,2024-08-15,https://web.archive.org/web/20230610/gazette98,FGN-GAZ-2023-98,National Assembly,Federal Government Printer,en,active,Statutory instrument assented to by President Tinubu
[SRC-2023-0002],CBN Operational Circular on Operational Mechanisms for Bureau De Change and NAFEM,Central Bank of Nigeria,LEVEL_2,economic_report,2023-06-14,exact_day,https://www.cbn.gov.ng/documents/circulars.asp,2024-08-15,https://web.archive.org/web/20230615/cbn-nafem,FMD/DIR/CIR/GEN/08/007,Financial Markets Department,Central Bank of Nigeria,en,active,Official circular collapsing FX market segments
[SRC-2023-0003],FIRS Annual Non-Oil Tax Performance Bulletin 2023,Federal Inland Revenue Service,LEVEL_2,audit_report,2024-01-18,exact_day,https://www.firs.gov.ng/reports/annual-2023,2024-08-15,https://web.archive.org/web/20240120/firs-2023,FIRS-AR-2023,Planning and Statistics Directorate,FIRS,en,active,Audited annual tax collection figures exceeding N12.3 Trillion
[SRC-2023-0004],State House Press Release on Presidential CNG Initiative Rollout,Presidency of Nigeria,LEVEL_5,state_house_release,2023-10-01,exact_day,https://statehouse.gov.ng/press-releases/cng-initiative,2024-08-15,https://web.archive.org/web/20231002/statehouse-cng,SH-PR-2023-10-01,Special Adviser on Information,State House Media,en,active,Official speech and rollout guidelines for Pi-CNG
[SRC-2024-0005],Federal Republic of Nigeria Official Gazette Vol. 111 No. 38 (Executive Orders 40 41 42),Federal Government of Nigeria,LEVEL_1,gazette,2024-02-28,exact_day,https://gazettes.gov.ng/2024/no38,2024-08-15,https://web.archive.org/web/20240301/gazette38,FGN-GAZ-2024-38,Presidency,Federal Government Printer,en,active,Fiscal incentives and contracting cycle compression orders
[SRC-2024-0006],Federal Ministry of Agriculture Grain Distribution Operations Manifest,Federal Ministry of Agriculture and Food Security,LEVEL_2,ministerial_statement,2024-04-15,exact_day,https://agriculture.gov.ng/food-security/releases,2024-08-15,https://web.archive.org/web/20240416/grain-manifest,FMAFS-REL-2024-01,Department of Strategic Grains,FMAFS,en,active,42000 metric tonnes distribution schedule
[SRC-2023-0007],African Development Bank NAGS-AP Programme Appraisal and Implementation Report,African Development Bank,LEVEL_3,multilateral_report,2023-11-20,exact_day,https://www.afdb.org/en/documents/nigeria-nags-ap-report,2024-08-15,https://web.archive.org/web/20231122/afdb-nags,AfDB-P-NG-A00-012,Agriculture Sector Desk,AfDB Group,en,active,Subsidized input vouchers and wheat cultivation acreage verification
[SRC-2024-0008],Federal Executive Council Extract on Green Imperative Bilateral Financing,Federal Executive Council,LEVEL_1,executive_order,2024-03-20,exact_day,https://cabinetoffice.gov.ng/fec-resolutions/2024-03,2024-08-15,https://web.archive.org/web/20240321/fec-green-imperative,FEC-RES-2024-11,Cabinet Secretariat,Cabinet Office,en,active,Sovereign debt facility approval for agricultural mechanization
[SRC-2023-0009],NITDA 3MTT Cohort-1 Training and Placement Completion Report,NITDA,LEVEL_2,agency_portal,2024-02-29,exact_day,https://3mtt.nitda.gov.ng/reports/cohort1,2024-08-15,https://web.archive.org/web/20240301/3mtt-cohort1,NITDA-3MTT-2024-01,Digital Skills Directorate,NITDA,en,active,30000 fellows certified across 36 states
[SRC-2024-0010],Federal Executive Council Approval of National Broadband SPV,Federal Ministry of Communications Innovation and Digital Economy,LEVEL_1,executive_order,2024-05-13,exact_day,https://bspv.fmcide.gov.ng/charter,2024-08-15,https://web.archive.org/web/20240514/fmcide-spv,FEC-EXT-2024-SPV,Hon Minister of Communications,FMCIDE,en,active,Cabinet authorization for 90000km fiber optic network
[SRC-2024-0011],Inauguration Charter of the National Council for Digital Innovation and Entrepreneurship,Presidency of Nigeria,LEVEL_1,executive_order,2024-06-04,exact_day,https://startup.gov.ng/ncdie-inauguration,2024-08-15,https://web.archive.org/web/20240605/startup-council,SH-DIR-2024-NCDIE,Special Adviser on Digital Economy,Presidency,en,active,Statutory council operationalizing Nigeria Startup Act 2022
[SRC-2024-0012],Federal Ministry of Works Engineering Inspection Report on Coastal Highway Section 1,Federal Ministry of Works,LEVEL_2,audit_report,2024-06-30,exact_day,https://works.gov.ng/projects/coastal-highway,2024-08-15,https://web.archive.org/web/20240701/works-coastal,FMW-ENG-2024-LC01,Highways Directorate,Federal Ministry of Works,en,active,Civil works verification of concrete pavement and drainage piling
[SRC-2024-0013],Federal Capital Territory Administration Metro Rail Commissioning Dossier,Federal Capital Territory Administration,LEVEL_2,ministerial_statement,2024-05-29,exact_day,https://fcta.gov.ng/transport/metro-rail,2024-08-15,https://web.archive.org/web/20240530/fcta-metro,FCTA-TRN-2024-01,Transportation Secretariat,FCTA,en,active,27.2km commercial train operations and station rehabilitation
[SRC-2024-0014],Nigerian Railway Corporation Commercial Operations Manifest on Port Harcourt - Aba Line,Nigerian Railway Corporation,LEVEL_2,agency_portal,2024-04-30,exact_day,https://nrc.gov.ng/schedules/ph-aba,2024-08-15,https://web.archive.org/web/20240501/nrc-ph-aba,NRC-OPS-2024-04,Operations Directorate,NRC,en,active,Scheduled passenger service recommencement logs
[SRC-2024-0015],Federal Ministry of Works Completion Certificate on Second Niger Bridge Bypasses,Federal Ministry of Works,LEVEL_1,executive_order,2024-05-23,exact_day,https://works.gov.ng/completions/second-niger-bridge-access,2024-08-15,https://web.archive.org/web/20240524/2nb-access,FMW-CC-2024-2NB,Highways Construction Department,Federal Ministry of Works,en,active,17.5km dualized bypass completion certificate
[SRC-2024-0016],Federal Ministry of Housing Renewed Hope Cities Engineering Progress Report,Federal Ministry of Housing and Urban Development,LEVEL_2,audit_report,2024-06-15,exact_day,https://housing.gov.ng/renewed-hope-cities,2024-08-15,https://web.archive.org/web/20240616/housing-karsana,FMHUD-PR-2024-02,Public Building and Housing Department,FMHUD,en,active,3112 units structural construction inspection in Karsana
[SRC-2024-0017],Federal Mortgage Bank of Nigeria Digital Operations and Loan Disbursement Circular,Federal Mortgage Bank of Nigeria,LEVEL_2,agency_portal,2024-04-18,exact_day,https://fmbn.gov.ng/circulars/nhf-portal,2024-08-15,https://web.archive.org/web/20240419/fmbn-nhf,FMBN-CIR-2024-03,Managing Director Office,FMBN,en,active,Automated NHF contributions portal and mortgage revisions
