achievement_id,title,summary,public_navigation_group,sector,subsector,status,evidence_profile,data_value_nature,source_origin,verification_status,publication_status,responsible_institutions,geographic_scope,states_covered,date,date_precision,reported_outcomes,notes
[ACH-2023-0001],"Assent and Operational Decentralization under the Electricity Act 2023","President Bola Ahmed Tinubu signed the Electricity Act 2023 into law, repealing the 2005 EPSRA and empowering federating states to establish independent electricity regulatory commissions, license sub-national generation, and unbundle regional distribution networks.",economy,power_energy_natural_resources,power_sector_reforms,enacted,statutory_legal_enactment,actual,government_reported,independently_corroborated,published,Federal Ministry of Power|Nigerian Electricity Regulatory Commission|State House,national,National,2023-06-09,exact_day,"Transfer of regulatory oversight to multiple State Electricity Regulatory Commissions including Ondo, Ekiti, Enugu, and Imo",Foundational statutory reform decentralizing Nigeria electricity supply industry
[ACH-2023-0002],"Unification of Foreign Exchange Windows and Transition to Market-Determined Rate","The Central Bank of Nigeria unified multiple official foreign exchange rate windows into the Nigerian Autonomous Foreign Exchange Market (NAFEM), abolishing discretionary pegging to enhance market transparency and foreign capital inflow.",economy,economy_fiscal_reforms,monetary_and_exchange_rate_reforms,operational,statistical_indicator_movement,actual,government_reported,independently_corroborated,published,Central Bank of Nigeria|Federal Ministry of Finance,national,National,2023-06-14,exact_day,"Elimination of official FX arbitrage gap and multi-billion dollar recovery in net foreign portfolio investments",Monetary reform verified by CBN operational circulars and World Bank development reviews
[ACH-2023-0003],"Federal Inland Revenue Service Non-Oil Tax Revenue Mobilization Expansion","The Federal Inland Revenue Service (FIRS) achieved historic non-oil revenue collections exceeding N12.3 trillion in 2023 and sustained collection growth into 2024 through digital tax automation and VAT efficiency.",economy,economy_fiscal_reforms,fiscal_and_revenue_reforms,outcome_reported,verified_administrative_disbursement,actual,government_reported,independently_corroborated,published,Federal Inland Revenue Service|Federal Ministry of Finance,national,National,2023-12-31,exact_day,"Record non-oil revenue collections representing over 100 percent of fiscal collection target",Documented in FIRS statutory annual performance bulletin and NBS fiscal statistics
[ACH-2023-0004],"Establishment and Operational Deployment of the Presidential Compressed Natural Gas Initiative","The Presidential Compressed Natural Gas (Pi-CNG) initiative was inaugurated to mitigate transport costs post-subsidy removal by deploying commercial conversion kits, establishing certified refueling stations, and distributing high-capacity CNG mass transit buses.",economy,power_energy_natural_resources,domestic_gas_utilization,operational,direct_physical_delivery,actual,government_reported,independently_corroborated,published,Presidency|PCNGi Steering Committee|Federal Ministry of Transportation,national,Lagos|Abuja|Ogun|Rivers|Edo|Kano,2023-10-01,exact_day,"Commissioning of 15 commercial conversion centres and delivery of pilot CNG passenger buses",Direct physical intervention documented in State House briefings and commercial transport logs
[ACH-2023-0005],"Presidential Executive Order 040 on Upstream Oil and Gas Fiscal Incentives","Presidential assent to Executive Orders 40, 41, and 42 introducing zero-tariff exemptions, contracting cycle compression from 36 to 6 months, and fiscal tax credits for non-associated gas greenfield developments.",economy,power_energy_natural_resources,oil_and_gas_fiscal_terms,enacted,statutory_legal_enactment,actual,government_reported,independently_corroborated,published,Presidency|Special Adviser on Energy|NUPRC,national,National,2024-02-28,exact_day,"Over USD 5 billion in accelerated final investment decision commitments unlocked across deepwater and shallow assets",Published in Federal Republic of Nigeria Official Gazette and affirmed by NUPRC
[ACH-2023-0006],"National Food Security Emergency Declaration and Strategic Grain Reserve Offload","President Tinubu declared a national state of emergency on food security, directing the unconditional release of 42,000 metric tonnes of maize, sorghum, and millet from the National Strategic Food Reserve to vulnerable households across 36 states.",economy,agriculture_food_security,food_security_emergency_interventions,completed,direct_physical_delivery,actual,government_reported,independently_corroborated,published,Federal Ministry of Agriculture and Food Security|National Emergency Management Agency,national,All 36 States|FCT,2024-04-15,exact_day,"42000 MT of grain distributed through state emergency committees to mitigate inflationary pressure",Documented in Ministry of Agriculture release manifest and state distribution records
[ACH-2023-0007],"Launch of the National Dry-Season Wheat Cultivation Initiative in Northern Agro-Corridors","Under the National Agricultural Growth Scheme and Agro-Pocket (NAGS-AP), the Federal Government launched a 120,000-hectare dry-season wheat production programme providing 50% subsidized certified seeds, fertilizers, and agrochemicals to over 107,000 farmers.",economy,agriculture_food_security,agricultural_production_support,operational,direct_physical_delivery,actual,government_reported,independently_corroborated,published,Federal Ministry of Agriculture and Food Security|African Development Bank,multi_state,Jigawa|Kano|Kebbi|Bauchi|Borno,2023-11-25,exact_day,"Over 107000 smallholder wheat farmers cultivated 120000 hectares producing an estimated 400000 metric tonnes",Supported by AfDB NAGS-AP facility with verified electronic redemption vouchers
[ACH-2023-0008],"Bilateral Activation of the Green Imperative Agricultural Mechanization Scheme","Bilateral financing activation with the German and Brazilian export credit agencies for the USD 1.1 billion Green Imperative Project to establish 959 agricultural service centres and assemble 10,000 tractors nationwide.",economy,agriculture_food_security,agricultural_mechanization,approved,verified_administrative_disbursement,actual,government_reported,source_confirmed,published,Federal Ministry of Agriculture and Food Security|Federal Ministry of Finance,national,National,2024-03-20,exact_day,"Cabinet approval and sovereign credit structuring for nationwide tractor assembly centres",FEC resolution and bilateral sovereign facility execution
[ACH-2023-0009],"Launch and Phase 1 Deployment of the 3 Million Technical Talent (3MTT) Programme","The Federal Ministry of Communications, Innovation and Digital Economy launched the 3MTT initiative, training and certifying over 30,000 fellows in Phase 1 across 12 digital tech disciplines and placing over 10,000 into internships and jobs.",economy,digital_economy_science_innovation,digital_skills_and_talent,operational,verified_administrative_disbursement,actual,government_reported,independently_corroborated,published,Federal Ministry of Communications Innovation and Digital Economy|NITDA,national,All 36 States|FCT,2023-10-13,exact_day,"30000 cohort-1 graduates across 36 states with multi-million naira training support grants",Documented in NITDA dashboard metrics and IHS Towers fellowship partnership
[ACH-2023-0010],"Federal Executive Council Approval of the 90,000km National Fiber Backbone Special Purpose Vehicle","The Federal Executive Council approved the establishment of a dedicated Special Purpose Vehicle (SPV) to co-invest and deploy 90,000 kilometres of terrestrial fiber-optic broadband infrastructure nationwide.",economy,digital_economy_science_innovation,broadband_infrastructure,approved,official_policy_declaration,actual,government_reported,independently_corroborated,published,Federal Ministry of Communications Innovation and Digital Economy|FEC,national,National,2024-05-13,exact_day,"Establishment of SPV to increase national fiber footprint from 35000km to 125000km",FEC approval extract and ministerial briefing documented
