source_id,institution,document_title,publication_date,observation_period,url,source_type,source_quality,indicators_supported,accessed_date,verification_status,notes
SRC-NBS-GDP-Q1-2026,National Bureau of Statistics (NBS),Nigerian Gross Domestic Product Report (Q1 2026),2026-05-24,Q1 2026,https://nigerianstat.gov.ng/elibrary/read/1241505,STATUTORY_REPORT,PRIMARY_DIRECT_DOCUMENT,real_gdp_growth; gdp_sector_breakdown,2026-08-23,VERIFIED_DIRECT_DOCUMENT,Official quarterly establishment survey and national accounts bulletin
SRC-NBS-CPI-07-2026,National Bureau of Statistics (NBS),Consumer Price Index and Inflation Report (July 2026),2026-08-15,July 2026,https://nigerianstat.gov.ng/elibrary/read/1241512,STATUTORY_REPORT,PRIMARY_DIRECT_DOCUMENT,headline_cpi; food_cpi; core_cpi,2026-08-23,VERIFIED_DIRECT_DOCUMENT,Monthly price survey rebased to 2024=100 base year and 2023 NLSS weights
SRC-CBN-MPC-07-2026,Central Bank of Nigeria (CBN),Central Bank of Nigeria 306th MPC Meeting Communiqué,2026-07-21,July 2026,https://www.cbn.gov.ng/Out/2026/CCD/MPC_Communique_306.pdf,STATUTORY_COMMUNIQUE,PRIMARY_DIRECT_DOCUMENT,monetary_policy_rate; crr_rate,2026-08-23,VERIFIED_DIRECT_DOCUMENT,Statutory monetary policy committee decision signed by CBN Governor
SRC-CBN-RES-08-2026,Central Bank of Nigeria (CBN),Movement in Foreign Reserves Dataset,2026-08-23,August 2026 (Aug 23),https://www.cbn.gov.ng/IntOps/Reserve.asp,STATUTORY_DATASET,PRIMARY_OFFICIAL_DATASET,external_reserves,2026-08-23,VERIFIED_OFFICIAL_DATASET,Daily published official 30-day moving average gross external reserves
SRC-CBN-FX-08-2026,Central Bank of Nigeria (CBN) / FMDQ,Daily Foreign Exchange Market Turnover and Rates,2026-08-19,August 2026 (Aug 19),https://www.cbn.gov.ng/rates/ExchRateByCurrency.asp,STATUTORY_DATASET,PRIMARY_OFFICIAL_DATASET,nafem_fx_rate,2026-08-23,VERIFIED_OFFICIAL_DATASET,Autonomous NAFEM volume-weighted daily rate and closing market rate
SRC-NUPRC-07-2026,Nigerian Upstream Petroleum Regulatory Commission (NUPRC),Monthly Crude Oil and Condensate Production Report (July 2026),2026-08-14,July 2026,https://www.nuprc.gov.ng/crude-oil-and-condensate-production-2026/,STATUTORY_REPORT,PRIMARY_DIRECT_DOCUMENT,crude_oil_production; condensate_production; total_liquids_production,2026-08-23,VERIFIED_DIRECT_DOCUMENT,Official fiscalized terminal metering data covering all Nigerian export terminals
SRC-DMO-Q1-2026,Debt Management Office (DMO),Nigeria's Total Public Debt Stock as at March 31 2026,2026-06-30,Q1 2026 (March 31),https://www.dmo.gov.ng/debt-profile/total-public-debts/6120-nigeria-s-total-public-debt-stock-as-at-march-31-2026,STATUTORY_BULLETIN,PRIMARY_DIRECT_DOCUMENT,total_public_debt; domestic_public_debt; external_public_debt,2026-08-23,VERIFIED_DIRECT_DOCUMENT,Comprehensive statistical bulletin covering FGN and 36 States + FCT debt portfolio (₦159.35T / $114.95B)
SRC-OAGF-07-2026,Office of the Accountant General of the Federation (OAGF) / FAAC,Federation Account Allocation Committee (FAAC) July 2026 Disbursement Communiqué,2026-08-18,July 2026,https://www.oagf.gov.ng/faac-disbursement-july-2026/,STATUTORY_COMMUNIQUE,PRIMARY_DIRECT_DOCUMENT,faac_distributable_revenue; statutory_revenue; vat_allocation,2026-08-23,VERIFIED_DIRECT_DOCUMENT,Official monthly statutory revenue sharing communiqué across Federal State and LGA tiers
SRC-FIRS-TAX-2026,Federal Inland Revenue Service (FIRS),National Non-Oil Tax Revenue Quarterly Performance Brief,2026-07-15,Q2 2026,https://www.firs.gov.ng/reports/tax-revenue-2026-q2,STATUTORY_REPORT,PRIMARY_DIRECT_DOCUMENT,non_oil_tax_revenue; cit_collections; vat_yields,2026-08-23,VERIFIED_DIRECT_DOCUMENT,Quarterly tax administration audit under Nigeria Tax Act 2025
SRC-NERC-POWER-2026,Nigerian Electricity Regulatory Commission (NERC),Quarterly Power Sector Performance & Tariff Review,2026-06-30,Q1 2026,https://nerc.gov.ng/index.php/reports/quarterly-reports,STATUTORY_REPORT,PRIMARY_DIRECT_DOCUMENT,electricity_grid_generation; band_a_cost_reflective_tariff,2026-08-23,VERIFIED_DIRECT_DOCUMENT,Multi-Year Tariff Order (MYTO) statutory review and grid reliability metrics
