claim_id,claim,verdict,correct_value,correct_period,reason,source_id,source_url
AUDIT-01,Q1 2026 Real GDP = 3.12%,REJECTED,3.89% YoY,Q1 2026,The previous figure of 3.12% was an unverified synthetic estimate; official NBS national accounts confirm real GDP grew by 3.89% YoY in Q1 2026 driven by 4.31% services expansion and 3.15% agricultural recovery.,SRC-NBS-GDP-Q1-2026,https://nigerianstat.gov.ng
AUDIT-02,July 2026 headline CPI = 31.85%,REJECTED,15.43% YoY,July 2026,The previous 31.85% figure failed to account for the 2025 CPI rebasing to 2024=100 base year and 2023 NLSS weights (934 items); official rebased headline inflation for July 2026 was 15.43%.,SRC-NBS-CPI-07-2026,https://nigerianstat.gov.ng
AUDIT-03,July 2026 food inflation = 37.20%,REJECTED,20.31% YoY,July 2026,The previous 37.20% figure was an unrebased synthetic extrapolation; official rebased food inflation stood at 20.31% YoY (with MoM at 5.56%).,SRC-NBS-CPI-07-2026,https://nigerianstat.gov.ng
AUDIT-04,August 2026 NFEM = ₦1565.00/$,REJECTED,₦1350.41/$,August 19 2026,The previous ₦1565/$ rate was based on a stale 2024 level; official volume-weighted autonomous NAFEM rate on 19 August 2026 was ₦1350.41/$ (closing at ₦1351.00/$).,SRC-CBN-FX-08-2026,https://www.cbn.gov.ng
AUDIT-05,August 2026 Gross Reserves = $38.92 Billion,REJECTED,$52.66 Billion,August 23 2026,The previous $38.92B was a massive undercount; official CBN 30-day moving average gross external reserves reached $52.66 Billion on 23 August 2026 (a 17-year multi-year high).,SRC-CBN-RES-08-2026,https://www.cbn.gov.ng
AUDIT-06,July 2026 MPR = 27.25%,REJECTED,26.50%,July 21 2026,The previous 27.25% was the Sept 2024 rate; the MPC lowered MPR to 26.50% in Feb 2026 and retained it at 26.50% at both the 305th (May) and 306th (July 2026) meetings.,SRC-CBN-MPC-07-2026,https://www.cbn.gov.ng
AUDIT-07,July 2026 Total Oil + Condensate = 1.68 mbpd,REFINED_CORRECTED,1.670 mbpd total liquids (1.505 mbpd crude + 0.165 mbpd condensate),July 2026,The previous 1.68 mbpd was an approximation that failed to separate crude oil (1.505 mbpd) from condensates (0.165 mbpd); total audited liquid output is 1.670 mbpd (down from June 74-month high of 1.735 mbpd).,SRC-NUPRC-07-2026,https://www.nuprc.gov.ng
AUDIT-08,Q1 2026 Public Debt = ₦134.80T / $93.2B,REJECTED,₦159.3516T / $114.9544B,Q1 2026 (March 31 2026),The previous claim of Q1 2026 debt at ₦134.80T was a fabricated estimate; official DMO statistical bulletin for 31 March 2026 published on 30 June 2026 records total public debt at ₦159.35158144 Trillion ($114.95440 Billion).,SRC-DMO-Q1-2026,https://www.dmo.gov.ng
AUDIT-09,Q2 2024 Public Debt = ₦134.30T / $91.35B presented as latest,REJECTED_STALE,₦159.3516T / $114.9544B (Q1 2026),Q1 2026 (March 31 2026),A previous draft mistakenly presented Q2 2024 data as the latest observation despite DMO publishing March 31 2026 public debt on June 30 2026.,SRC-DMO-Q1-2026,https://www.dmo.gov.ng
AUDIT-10,July 2026 FAAC Distributable Revenue = ₦1.420T,REJECTED,₦3.007 Trillion,July 2026,The previous ₦1.420T was a stale 2024 figure; official FAAC disbursement for July 2026 hit an all-time record of ₦3.007 Trillion (the first time distributions exceeded ₦3T in Nigerian history).,SRC-OAGF-07-2026,https://www.oagf.gov.ng
