event_id,record_id,event_title,event_type,event_date,date_precision,sector,lead_actor,evidence_source_id,summary,notes
[TLE-2023-0001],[ACH-2023-0001],National Assembly Enacts Electricity Act 2023,enactment,2023-06-09,exact_day,power_energy_natural_resources,President Bola Ahmed Tinubu,[SRC-2023-0001],"President Tinubu assents to the Electricity Act 2023, decentralizing power generation and distribution to States",Official Gazette Vol 110 No 98
[TLE-2023-0002],[ACH-2023-0002],Central Bank Directs Foreign Exchange Window Unification,operation,2023-06-14,exact_day,economy_fiscal_reforms,Central Bank of Nigeria,[SRC-2023-0002],"CBN issues operational circular collapsing multiple FX windows into NAFEM",CBN Circular FMD/DIR/CIR/GEN/08/007
[TLE-2023-0003],[ACH-2023-0004],President Inaugurates Presidential Compressed Natural Gas Initiative,commencement,2023-10-01,exact_day,power_energy_natural_resources,President Bola Ahmed Tinubu,[SRC-2023-0004],"Presidential address announcing national rollout of commercial CNG conversion and mass transit bus fleet",State House Press Release
[TLE-2023-0004],[ACH-2023-0009],Federal Ministry of Communications Launches 3MTT Initiative,commencement,2023-10-13,exact_day,digital_economy_science_innovation,Dr Bosun Tijani,[SRC-2023-0009],"FMCIDE launches 3 Million Technical Talent programme with Phase 1 training for 30000 fellows",NITDA Programme Dossier
[TLE-2023-0005],[ACH-2023-0007],Flag-off of 120000-Hectare Dry-Season Wheat Cultivation in Jigawa,commencement,2023-11-25,exact_day,agriculture_food_security,Senator Abubakar Kyari,[SRC-2023-0007],"Federal Ministry of Agriculture launches NAGS-AP dry-season wheat farming supporting 107000 farmers",AfDB Implementation Review
[TLE-2024-0006],[ACH-2024-0016],Groundbreaking of 3112-Unit Renewed Hope City in Karsana Abuja,commencement,2024-02-08,exact_day,housing_urban_development,President Bola Ahmed Tinubu,[SRC-2024-0016],"President Tinubu performs groundbreaking for 3112 housing units under PPP development model",Ministry of Housing Inspection Report
[TLE-2024-0007],[ACH-2023-0005],President Issues Executive Orders 40 41 and 42 on Oil and Gas,enactment,2024-02-28,exact_day,power_energy_natural_resources,President Bola Ahmed Tinubu,[SRC-2024-0005],"Presidential assent to gas fiscal incentives and contracting timeline reduction to 6 months",Official Gazette Vol 111 No 38
[TLE-2024-0008],[ACH-2024-0012],Civil Works Commences on Lagos-Calabar Coastal Highway Section 1,commencement,2024-03-01,exact_day,infrastructure_transportation,Engr David Umahi,[SRC-2024-0012],"Federal Ministry of Works initiates concrete paving on 47.47km Section 1 in Lagos State",Ministry of Works Progress Bulletin
[TLE-2024-0009],[ACH-2024-0018],President Assents to Access to Higher Education Act 2024,enactment,2024-04-03,exact_day,education_human_capital,President Bola Ahmed Tinubu,[SRC-2024-0018],"President Tinubu signs revised Student Loan Act removing income restrictions and empowering NELFUND",Official Gazette Vol 111 No 56
[TLE-2024-0010],[ACH-2024-0014],Commercial Train Operations Recommence on Port Harcourt - Aba Line,operation,2024-04-30,exact_day,infrastructure_transportation,Nigerian Railway Corporation,[SRC-2024-0014],"NRC resumes scheduled daily passenger and freight train runs on 62km corridor",NRC Operational Manifest
[TLE-2024-0011],[ACH-2024-0015],Completion and Handover of Second Niger Bridge Onitsha/Asaba Bypasses,completion,2024-05-23,exact_day,infrastructure_transportation,Federal Ministry of Works,[SRC-2024-0015],"17.5km dualized access bypasses completed and commissioned for commercial traffic",Ministry of Works Completion Certificate
[TLE-2024-0012],[ACH-2024-0013],President Tinubu Commissions Rehabilitated Abuja Light Rail Network,operation,2024-05-29,exact_day,infrastructure_transportation,President Bola Ahmed Tinubu,[SRC-2024-0013],"President Tinubu rides and commissions the 27.2km Abuja Metro with two months free passenger transit",FCTA Commissioning Dossier
[TLE-2024-0013],[ACH-2024-0021],President Issues Executive Order 041 on Local Pharmaceutical Tariffs,enactment,2024-06-28,exact_day,healthcare_public_health,President Bola Ahmed Tinubu,[SRC-2024-0021],"Executive Order granting zero tariffs on active pharmaceutical ingredients and medical machinery",Official Gazette Vol 111 No 72
[TLE-2024-0014],[ACH-2024-0028],Supreme Court Delivers Judgment in SC/CV/343/2024 on LGA Financial Autonomy,enactment,2024-07-11,exact_day,governance_public_service,Supreme Court of Nigeria,[SRC-2024-0028],"Supreme Court mandates direct disbursement of federal allocation to 774 Local Government Councils",Supreme Court Law Report SC/CV/343/2024
[TLE-2024-0015],[ACH-2024-0019],NELFUND Commences Direct Institutional Tuition Fee Disbursements,operation,2024-08-10,exact_day,education_human_capital,Akintunde Sawyerr,[SRC-2024-0019],"NELFUND disburses over N10 Billion in institutional fees directly to public tertiary institutions",NELFUND Public Portal Release
